Question,main,sub1,sub2,Description,Description_short,TBD,dim1,dim2,dim3
Q19_3_1,Q19,3,1,"Please reflect the 2021-22 academic year data in your answers. In this question, we are looking for total numbers/volume of appointments (including in-person, drop-in, video chat or phone) and email consultations that professional staff had with students and alumni.


	If you do not know the answer to or do not track a particular data point, please leave it blank; DO NOT include estimates or guesses. - # appointments with junior students by professional staff - Total # of appointments (in-person, phone, video chat)",NA,"Please reflect the 2021-22 academic year data in your answers. In this question, we are looking for total numbers/volume of appointments (including in-person, drop-in, video chat or phone) and email consultations that professional staff had with students and alumni.


	If you do not know the answer to or do not track a particular data point, please leave it blank; DO NOT include estimates or guesses.",# appointments with junior students by professional staff,"Total # of appointments (in-person, phone, video chat)",NA
Q19_3_2,Q19,3,2,"Please reflect the 2021-22 academic year data in your answers. In this question, we are looking for total numbers/volume of appointments (including in-person, drop-in, video chat or phone) and email consultations that professional staff had with students and alumni.


	If you do not know the answer to or do not track a particular data point, please leave it blank; DO NOT include estimates or guesses. - # appointments with junior students by professional staff - Total # of email consultations",NA,"Please reflect the 2021-22 academic year data in your answers. In this question, we are looking for total numbers/volume of appointments (including in-person, drop-in, video chat or phone) and email consultations that professional staff had with students and alumni.


	If you do not know the answer to or do not track a particular data point, please leave it blank; DO NOT include estimates or guesses.",# appointments with junior students by professional staff,Total # of email consultations,NA
Q19_4_1,Q19,4,1,"Please reflect the 2021-22 academic year data in your answers. In this question, we are looking for total numbers/volume of appointments (including in-person, drop-in, video chat or phone) and email consultations that professional staff had with students and alumni.


	If you do not know the answer to or do not track a particular data point, please leave it blank; DO NOT include estimates or guesses. - # appointments with senior students by professional staff - Total # of appointments (in-person, phone, video chat)",NA,"Please reflect the 2021-22 academic year data in your answers. In this question, we are looking for total numbers/volume of appointments (including in-person, drop-in, video chat or phone) and email consultations that professional staff had with students and alumni.


	If you do not know the answer to or do not track a particular data point, please leave it blank; DO NOT include estimates or guesses.",# appointments with senior students by professional staff,"Total # of appointments (in-person, phone, video chat)",NA
Q19_4_2,Q19,4,2,"Please reflect the 2021-22 academic year data in your answers. In this question, we are looking for total numbers/volume of appointments (including in-person, drop-in, video chat or phone) and email consultations that professional staff had with students and alumni.


	If you do not know the answer to or do not track a particular data point, please leave it blank; DO NOT include estimates or guesses. - # appointments with senior students by professional staff - Total # of email consultations",NA,"Please reflect the 2021-22 academic year data in your answers. In this question, we are looking for total numbers/volume of appointments (including in-person, drop-in, video chat or phone) and email consultations that professional staff had with students and alumni.


	If you do not know the answer to or do not track a particular data point, please leave it blank; DO NOT include estimates or guesses.",# appointments with senior students by professional staff,Total # of email consultations,NA
Q19_5_1,Q19,5,1,"Please reflect the 2021-22 academic year data in your answers. In this question, we are looking for total numbers/volume of appointments (including in-person, drop-in, video chat or phone) and email consultations that professional staff had with students and alumni.


	If you do not know the answer to or do not track a particular data point, please leave it blank; DO NOT include estimates or guesses. - TOTAL #  appointments with students by professional staff - Total # of appointments (in-person, phone, video chat)",NA,"Please reflect the 2021-22 academic year data in your answers. In this question, we are looking for total numbers/volume of appointments (including in-person, drop-in, video chat or phone) and email consultations that professional staff had with students and alumni.


	If you do not know the answer to or do not track a particular data point, please leave it blank; DO NOT include estimates or guesses.",TOTAL #  appointments with students by professional staff,"Total # of appointments (in-person, phone, video chat)",NA
Q19_5_2,Q19,5,2,"Please reflect the 2021-22 academic year data in your answers. In this question, we are looking for total numbers/volume of appointments (including in-person, drop-in, video chat or phone) and email consultations that professional staff had with students and alumni.


	If you do not know the answer to or do not track a particular data point, please leave it blank; DO NOT include estimates or guesses. - TOTAL #  appointments with students by professional staff - Total # of email consultations",NA,"Please reflect the 2021-22 academic year data in your answers. In this question, we are looking for total numbers/volume of appointments (including in-person, drop-in, video chat or phone) and email consultations that professional staff had with students and alumni.


	If you do not know the answer to or do not track a particular data point, please leave it blank; DO NOT include estimates or guesses.",TOTAL #  appointments with students by professional staff,Total # of email consultations,NA
Q19_6_1,Q19,6,1,"Please reflect the 2021-22 academic year data in your answers. In this question, we are looking for total numbers/volume of appointments (including in-person, drop-in, video chat or phone) and email consultations that professional staff had with students and alumni.


	If you do not know the answer to or do not track a particular data point, please leave it blank; DO NOT include estimates or guesses. - # appointments with alumni by professional staff - Total # of appointments (in-person, phone, video chat)",NA,"Please reflect the 2021-22 academic year data in your answers. In this question, we are looking for total numbers/volume of appointments (including in-person, drop-in, video chat or phone) and email consultations that professional staff had with students and alumni.


	If you do not know the answer to or do not track a particular data point, please leave it blank; DO NOT include estimates or guesses.",# appointments with alumni by professional staff,"Total # of appointments (in-person, phone, video chat)",NA
Q19_6_2,Q19,6,2,"Please reflect the 2021-22 academic year data in your answers. In this question, we are looking for total numbers/volume of appointments (including in-person, drop-in, video chat or phone) and email consultations that professional staff had with students and alumni.


	If you do not know the answer to or do not track a particular data point, please leave it blank; DO NOT include estimates or guesses. - # appointments with alumni by professional staff - Total # of email consultations",NA,"Please reflect the 2021-22 academic year data in your answers. In this question, we are looking for total numbers/volume of appointments (including in-person, drop-in, video chat or phone) and email consultations that professional staff had with students and alumni.


	If you do not know the answer to or do not track a particular data point, please leave it blank; DO NOT include estimates or guesses.",# appointments with alumni by professional staff,Total # of email consultations,NA
Q20_1_5,Q20,1,5,"Please reflect the 2021-22 academic year data in your answers. In this question, we are looking for the percentage of students in a particular class year who engaged with the career center through appointments (professional & peer staff) and events (workshops, programs, info sessions, etc.).


	To determine ""% engaged"" values, divide the number of unique students engaged by the total number of students in that class. 
	If you do not know the answer to or do not track a particular data point, please leave it blank; please do not include estimates or guesses. - First-Year - % engaged through appointment with professional staff",NA,"Please reflect the 2021-22 academic year data in your answers. In this question, we are looking for the percentage of students in a particular class year who engaged with the career center through appointments (professional & peer staff) and events (workshops, programs, info sessions, etc.).


	To determine ""% engaged"" values, divide the number of unique students engaged by the total number of students in that class. 
	If you do not know the answer to or do not track a particular data point, please leave it blank; please do not include estimates or guesses.",First-Year,% engaged through appointment with professional staff,NA
Q20_1_2,Q20,1,2,"Please reflect the 2021-22 academic year data in your answers. In this question, we are looking for the percentage of students in a particular class year who engaged with the career center through appointments (professional & peer staff) and events (workshops, programs, info sessions, etc.).


	To determine ""% engaged"" values, divide the number of unique students engaged by the total number of students in that class. 
	If you do not know the answer to or do not track a particular data point, please leave it blank; please do not include estimates or guesses. - First-Year - % engaged through appointment with peer ""advisor"" staff",NA,"Please reflect the 2021-22 academic year data in your answers. In this question, we are looking for the percentage of students in a particular class year who engaged with the career center through appointments (professional & peer staff) and events (workshops, programs, info sessions, etc.).


	To determine ""% engaged"" values, divide the number of unique students engaged by the total number of students in that class. 
	If you do not know the answer to or do not track a particular data point, please leave it blank; please do not include estimates or guesses.",First-Year,"% engaged through appointment with peer ""advisor"" staff",NA
Q20_1_3,Q20,1,3,"Please reflect the 2021-22 academic year data in your answers. In this question, we are looking for the percentage of students in a particular class year who engaged with the career center through appointments (professional & peer staff) and events (workshops, programs, info sessions, etc.).


	To determine ""% engaged"" values, divide the number of unique students engaged by the total number of students in that class. 
	If you do not know the answer to or do not track a particular data point, please leave it blank; please do not include estimates or guesses. - First-Year - % engaged through programs and events",NA,"Please reflect the 2021-22 academic year data in your answers. In this question, we are looking for the percentage of students in a particular class year who engaged with the career center through appointments (professional & peer staff) and events (workshops, programs, info sessions, etc.).


	To determine ""% engaged"" values, divide the number of unique students engaged by the total number of students in that class. 
	If you do not know the answer to or do not track a particular data point, please leave it blank; please do not include estimates or guesses.",First-Year,% engaged through programs and events,NA
Q20_1_4,Q20,1,4,"Please reflect the 2021-22 academic year data in your answers. In this question, we are looking for the percentage of students in a particular class year who engaged with the career center through appointments (professional & peer staff) and events (workshops, programs, info sessions, etc.).


	To determine ""% engaged"" values, divide the number of unique students engaged by the total number of students in that class. 
	If you do not know the answer to or do not track a particular data point, please leave it blank; please do not include estimates or guesses. - First-Year - Total % of class engaged",NA,"Please reflect the 2021-22 academic year data in your answers. In this question, we are looking for the percentage of students in a particular class year who engaged with the career center through appointments (professional & peer staff) and events (workshops, programs, info sessions, etc.).


	To determine ""% engaged"" values, divide the number of unique students engaged by the total number of students in that class. 
	If you do not know the answer to or do not track a particular data point, please leave it blank; please do not include estimates or guesses.",First-Year,Total % of class engaged,NA
Q20_2_5,Q20,2,5,"Please reflect the 2021-22 academic year data in your answers. In this question, we are looking for the percentage of students in a particular class year who engaged with the career center through appointments (professional & peer staff) and events (workshops, programs, info sessions, etc.).


	To determine ""% engaged"" values, divide the number of unique students engaged by the total number of students in that class. 
	If you do not know the answer to or do not track a particular data point, please leave it blank; please do not include estimates or guesses. - Sophomore - % engaged through appointment with professional staff",NA,"Please reflect the 2021-22 academic year data in your answers. In this question, we are looking for the percentage of students in a particular class year who engaged with the career center through appointments (professional & peer staff) and events (workshops, programs, info sessions, etc.).


	To determine ""% engaged"" values, divide the number of unique students engaged by the total number of students in that class. 
	If you do not know the answer to or do not track a particular data point, please leave it blank; please do not include estimates or guesses.",Sophomore,% engaged through appointment with professional staff,NA
Q20_2_2,Q20,2,2,"Please reflect the 2021-22 academic year data in your answers. In this question, we are looking for the percentage of students in a particular class year who engaged with the career center through appointments (professional & peer staff) and events (workshops, programs, info sessions, etc.).


	To determine ""% engaged"" values, divide the number of unique students engaged by the total number of students in that class. 
	If you do not know the answer to or do not track a particular data point, please leave it blank; please do not include estimates or guesses. - Sophomore - % engaged through appointment with peer ""advisor"" staff",NA,"Please reflect the 2021-22 academic year data in your answers. In this question, we are looking for the percentage of students in a particular class year who engaged with the career center through appointments (professional & peer staff) and events (workshops, programs, info sessions, etc.).


	To determine ""% engaged"" values, divide the number of unique students engaged by the total number of students in that class. 
	If you do not know the answer to or do not track a particular data point, please leave it blank; please do not include estimates or guesses.",Sophomore,"% engaged through appointment with peer ""advisor"" staff",NA
Q20_2_3,Q20,2,3,"Please reflect the 2021-22 academic year data in your answers. In this question, we are looking for the percentage of students in a particular class year who engaged with the career center through appointments (professional & peer staff) and events (workshops, programs, info sessions, etc.).


	To determine ""% engaged"" values, divide the number of unique students engaged by the total number of students in that class. 
	If you do not know the answer to or do not track a particular data point, please leave it blank; please do not include estimates or guesses. - Sophomore - % engaged through programs and events",NA,"Please reflect the 2021-22 academic year data in your answers. In this question, we are looking for the percentage of students in a particular class year who engaged with the career center through appointments (professional & peer staff) and events (workshops, programs, info sessions, etc.).


	To determine ""% engaged"" values, divide the number of unique students engaged by the total number of students in that class. 
	If you do not know the answer to or do not track a particular data point, please leave it blank; please do not include estimates or guesses.",Sophomore,% engaged through programs and events,NA
Q20_2_4,Q20,2,4,"Please reflect the 2021-22 academic year data in your answers. In this question, we are looking for the percentage of students in a particular class year who engaged with the career center through appointments (professional & peer staff) and events (workshops, programs, info sessions, etc.).


	To determine ""% engaged"" values, divide the number of unique students engaged by the total number of students in that class. 
	If you do not know the answer to or do not track a particular data point, please leave it blank; please do not include estimates or guesses. - Sophomore - Total % of class engaged",NA,"Please reflect the 2021-22 academic year data in your answers. In this question, we are looking for the percentage of students in a particular class year who engaged with the career center through appointments (professional & peer staff) and events (workshops, programs, info sessions, etc.).


	To determine ""% engaged"" values, divide the number of unique students engaged by the total number of students in that class. 
	If you do not know the answer to or do not track a particular data point, please leave it blank; please do not include estimates or guesses.",Sophomore,Total % of class engaged,NA
Q20_3_5,Q20,3,5,"Please reflect the 2021-22 academic year data in your answers. In this question, we are looking for the percentage of students in a particular class year who engaged with the career center through appointments (professional & peer staff) and events (workshops, programs, info sessions, etc.).


	To determine ""% engaged"" values, divide the number of unique students engaged by the total number of students in that class. 
	If you do not know the answer to or do not track a particular data point, please leave it blank; please do not include estimates or guesses. - Junior - % engaged through appointment with professional staff",NA,"Please reflect the 2021-22 academic year data in your answers. In this question, we are looking for the percentage of students in a particular class year who engaged with the career center through appointments (professional & peer staff) and events (workshops, programs, info sessions, etc.).


	To determine ""% engaged"" values, divide the number of unique students engaged by the total number of students in that class. 
	If you do not know the answer to or do not track a particular data point, please leave it blank; please do not include estimates or guesses.",Junior,% engaged through appointment with professional staff,NA
Q20_3_2,Q20,3,2,"Please reflect the 2021-22 academic year data in your answers. In this question, we are looking for the percentage of students in a particular class year who engaged with the career center through appointments (professional & peer staff) and events (workshops, programs, info sessions, etc.).


	To determine ""% engaged"" values, divide the number of unique students engaged by the total number of students in that class. 
	If you do not know the answer to or do not track a particular data point, please leave it blank; please do not include estimates or guesses. - Junior - % engaged through appointment with peer ""advisor"" staff",NA,"Please reflect the 2021-22 academic year data in your answers. In this question, we are looking for the percentage of students in a particular class year who engaged with the career center through appointments (professional & peer staff) and events (workshops, programs, info sessions, etc.).


	To determine ""% engaged"" values, divide the number of unique students engaged by the total number of students in that class. 
	If you do not know the answer to or do not track a particular data point, please leave it blank; please do not include estimates or guesses.",Junior,"% engaged through appointment with peer ""advisor"" staff",NA
Q20_3_3,Q20,3,3,"Please reflect the 2021-22 academic year data in your answers. In this question, we are looking for the percentage of students in a particular class year who engaged with the career center through appointments (professional & peer staff) and events (workshops, programs, info sessions, etc.).


	To determine ""% engaged"" values, divide the number of unique students engaged by the total number of students in that class. 
	If you do not know the answer to or do not track a particular data point, please leave it blank; please do not include estimates or guesses. - Junior - % engaged through programs and events",NA,"Please reflect the 2021-22 academic year data in your answers. In this question, we are looking for the percentage of students in a particular class year who engaged with the career center through appointments (professional & peer staff) and events (workshops, programs, info sessions, etc.).


	To determine ""% engaged"" values, divide the number of unique students engaged by the total number of students in that class. 
	If you do not know the answer to or do not track a particular data point, please leave it blank; please do not include estimates or guesses.",Junior,% engaged through programs and events,NA
Q20_3_4,Q20,3,4,"Please reflect the 2021-22 academic year data in your answers. In this question, we are looking for the percentage of students in a particular class year who engaged with the career center through appointments (professional & peer staff) and events (workshops, programs, info sessions, etc.).


	To determine ""% engaged"" values, divide the number of unique students engaged by the total number of students in that class. 
	If you do not know the answer to or do not track a particular data point, please leave it blank; please do not include estimates or guesses. - Junior - Total % of class engaged",NA,"Please reflect the 2021-22 academic year data in your answers. In this question, we are looking for the percentage of students in a particular class year who engaged with the career center through appointments (professional & peer staff) and events (workshops, programs, info sessions, etc.).


	To determine ""% engaged"" values, divide the number of unique students engaged by the total number of students in that class. 
	If you do not know the answer to or do not track a particular data point, please leave it blank; please do not include estimates or guesses.",Junior,Total % of class engaged,NA
Q20_4_5,Q20,4,5,"Please reflect the 2021-22 academic year data in your answers. In this question, we are looking for the percentage of students in a particular class year who engaged with the career center through appointments (professional & peer staff) and events (workshops, programs, info sessions, etc.).


	To determine ""% engaged"" values, divide the number of unique students engaged by the total number of students in that class. 
	If you do not know the answer to or do not track a particular data point, please leave it blank; please do not include estimates or guesses. - Senior - % engaged through appointment with professional staff",NA,"Please reflect the 2021-22 academic year data in your answers. In this question, we are looking for the percentage of students in a particular class year who engaged with the career center through appointments (professional & peer staff) and events (workshops, programs, info sessions, etc.).


	To determine ""% engaged"" values, divide the number of unique students engaged by the total number of students in that class. 
	If you do not know the answer to or do not track a particular data point, please leave it blank; please do not include estimates or guesses.",Senior,% engaged through appointment with professional staff,NA
Q20_4_2,Q20,4,2,"Please reflect the 2021-22 academic year data in your answers. In this question, we are looking for the percentage of students in a particular class year who engaged with the career center through appointments (professional & peer staff) and events (workshops, programs, info sessions, etc.).


	To determine ""% engaged"" values, divide the number of unique students engaged by the total number of students in that class. 
	If you do not know the answer to or do not track a particular data point, please leave it blank; please do not include estimates or guesses. - Senior - % engaged through appointment with peer ""advisor"" staff",NA,"Please reflect the 2021-22 academic year data in your answers. In this question, we are looking for the percentage of students in a particular class year who engaged with the career center through appointments (professional & peer staff) and events (workshops, programs, info sessions, etc.).


	To determine ""% engaged"" values, divide the number of unique students engaged by the total number of students in that class. 
	If you do not know the answer to or do not track a particular data point, please leave it blank; please do not include estimates or guesses.",Senior,"% engaged through appointment with peer ""advisor"" staff",NA
Q20_4_3,Q20,4,3,"Please reflect the 2021-22 academic year data in your answers. In this question, we are looking for the percentage of students in a particular class year who engaged with the career center through appointments (professional & peer staff) and events (workshops, programs, info sessions, etc.).


	To determine ""% engaged"" values, divide the number of unique students engaged by the total number of students in that class. 
	If you do not know the answer to or do not track a particular data point, please leave it blank; please do not include estimates or guesses. - Senior - % engaged through programs and events",NA,"Please reflect the 2021-22 academic year data in your answers. In this question, we are looking for the percentage of students in a particular class year who engaged with the career center through appointments (professional & peer staff) and events (workshops, programs, info sessions, etc.).


	To determine ""% engaged"" values, divide the number of unique students engaged by the total number of students in that class. 
	If you do not know the answer to or do not track a particular data point, please leave it blank; please do not include estimates or guesses.",Senior,% engaged through programs and events,NA
Q20_4_4,Q20,4,4,"Please reflect the 2021-22 academic year data in your answers. In this question, we are looking for the percentage of students in a particular class year who engaged with the career center through appointments (professional & peer staff) and events (workshops, programs, info sessions, etc.).


	To determine ""% engaged"" values, divide the number of unique students engaged by the total number of students in that class. 
	If you do not know the answer to or do not track a particular data point, please leave it blank; please do not include estimates or guesses. - Senior - Total % of class engaged",NA,"Please reflect the 2021-22 academic year data in your answers. In this question, we are looking for the percentage of students in a particular class year who engaged with the career center through appointments (professional & peer staff) and events (workshops, programs, info sessions, etc.).


	To determine ""% engaged"" values, divide the number of unique students engaged by the total number of students in that class. 
	If you do not know the answer to or do not track a particular data point, please leave it blank; please do not include estimates or guesses.",Senior,Total % of class engaged,NA
Q20_5_5,Q20,5,5,"Please reflect the 2021-22 academic year data in your answers. In this question, we are looking for the percentage of students in a particular class year who engaged with the career center through appointments (professional & peer staff) and events (workshops, programs, info sessions, etc.).


	To determine ""% engaged"" values, divide the number of unique students engaged by the total number of students in that class. 
	If you do not know the answer to or do not track a particular data point, please leave it blank; please do not include estimates or guesses. - TOTAL (all classes) - % engaged through appointment with professional staff",NA,"Please reflect the 2021-22 academic year data in your answers. In this question, we are looking for the percentage of students in a particular class year who engaged with the career center through appointments (professional & peer staff) and events (workshops, programs, info sessions, etc.).


	To determine ""% engaged"" values, divide the number of unique students engaged by the total number of students in that class. 
	If you do not know the answer to or do not track a particular data point, please leave it blank; please do not include estimates or guesses.",TOTAL (all classes),% engaged through appointment with professional staff,NA
Q20_5_2,Q20,5,2,"Please reflect the 2021-22 academic year data in your answers. In this question, we are looking for the percentage of students in a particular class year who engaged with the career center through appointments (professional & peer staff) and events (workshops, programs, info sessions, etc.).


	To determine ""% engaged"" values, divide the number of unique students engaged by the total number of students in that class. 
	If you do not know the answer to or do not track a particular data point, please leave it blank; please do not include estimates or guesses. - TOTAL (all classes) - % engaged through appointment with peer ""advisor"" staff",NA,"Please reflect the 2021-22 academic year data in your answers. In this question, we are looking for the percentage of students in a particular class year who engaged with the career center through appointments (professional & peer staff) and events (workshops, programs, info sessions, etc.).


	To determine ""% engaged"" values, divide the number of unique students engaged by the total number of students in that class. 
	If you do not know the answer to or do not track a particular data point, please leave it blank; please do not include estimates or guesses.",TOTAL (all classes),"% engaged through appointment with peer ""advisor"" staff",NA
Q20_5_3,Q20,5,3,"Please reflect the 2021-22 academic year data in your answers. In this question, we are looking for the percentage of students in a particular class year who engaged with the career center through appointments (professional & peer staff) and events (workshops, programs, info sessions, etc.).


	To determine ""% engaged"" values, divide the number of unique students engaged by the total number of students in that class. 
	If you do not know the answer to or do not track a particular data point, please leave it blank; please do not include estimates or guesses. - TOTAL (all classes) - % engaged through programs and events",NA,"Please reflect the 2021-22 academic year data in your answers. In this question, we are looking for the percentage of students in a particular class year who engaged with the career center through appointments (professional & peer staff) and events (workshops, programs, info sessions, etc.).


	To determine ""% engaged"" values, divide the number of unique students engaged by the total number of students in that class. 
	If you do not know the answer to or do not track a particular data point, please leave it blank; please do not include estimates or guesses.",TOTAL (all classes),% engaged through programs and events,NA
Q20_5_4,Q20,5,4,"Please reflect the 2021-22 academic year data in your answers. In this question, we are looking for the percentage of students in a particular class year who engaged with the career center through appointments (professional & peer staff) and events (workshops, programs, info sessions, etc.).


	To determine ""% engaged"" values, divide the number of unique students engaged by the total number of students in that class. 
	If you do not know the answer to or do not track a particular data point, please leave it blank; please do not include estimates or guesses. - TOTAL (all classes) - Total % of class engaged",NA,"Please reflect the 2021-22 academic year data in your answers. In this question, we are looking for the percentage of students in a particular class year who engaged with the career center through appointments (professional & peer staff) and events (workshops, programs, info sessions, etc.).


	To determine ""% engaged"" values, divide the number of unique students engaged by the total number of students in that class. 
	If you do not know the answer to or do not track a particular data point, please leave it blank; please do not include estimates or guesses.",TOTAL (all classes),Total % of class engaged,NA
Q21_1_1,Q21,1,1,"What percentage of your 2022 graduates completed the following type of experience by graduation?


	If you do not track a particular data point, please leave it blank; DO NOT include estimates or guesses. - Internship (including pre-licensure field experience, NOT including mentore... - Internship (including pre-licensure field experience, NOT including mentored undergraduate research) - %",NA,"What percentage of your 2022 graduates completed the following type of experience by graduation?


	If you do not track a particular data point, please leave it blank; DO NOT include estimates or guesses.","Internship (including pre-licensure field experience, NOT including mentore...","Internship (including pre-licensure field experience, NOT including mentored undergraduate research)",%
Q21_2_1,Q21,2,1,"What percentage of your 2022 graduates completed the following type of experience by graduation?


	If you do not track a particular data point, please leave it blank; DO NOT include estimates or guesses. - Mentored research experience - %",NA,"What percentage of your 2022 graduates completed the following type of experience by graduation?


	If you do not track a particular data point, please leave it blank; DO NOT include estimates or guesses.",Mentored research experience,%,NA
Q21_3_1,Q21,3,1,"What percentage of your 2022 graduates completed the following type of experience by graduation?


	If you do not track a particular data point, please leave it blank; DO NOT include estimates or guesses. - Internship for academic credit - %",NA,"What percentage of your 2022 graduates completed the following type of experience by graduation?


	If you do not track a particular data point, please leave it blank; DO NOT include estimates or guesses.",Internship for academic credit,%,NA
Q21_4_1,Q21,4,1,"What percentage of your 2022 graduates completed the following type of experience by graduation?


	If you do not track a particular data point, please leave it blank; DO NOT include estimates or guesses. - Internship funded by your institution - %",NA,"What percentage of your 2022 graduates completed the following type of experience by graduation?


	If you do not track a particular data point, please leave it blank; DO NOT include estimates or guesses.",Internship funded by your institution,%,NA
Q21_5_1,Q21,5,1,"What percentage of your 2022 graduates completed the following type of experience by graduation?


	If you do not track a particular data point, please leave it blank; DO NOT include estimates or guesses. - Paid internship - %",NA,"What percentage of your 2022 graduates completed the following type of experience by graduation?


	If you do not track a particular data point, please leave it blank; DO NOT include estimates or guesses.",Paid internship,%,NA
Q21_6_1,Q21,6,1,"What percentage of your 2022 graduates completed the following type of experience by graduation?


	If you do not track a particular data point, please leave it blank; DO NOT include estimates or guesses. - ANY internship, pre-licensure field experience, mentored experience or simi... - ANY internship, pre-licensure field experience, mentored experience or similar professional experience - %",NA,"What percentage of your 2022 graduates completed the following type of experience by graduation?


	If you do not track a particular data point, please leave it blank; DO NOT include estimates or guesses.","ANY internship, pre-licensure field experience, mentored experience or simi...","ANY internship, pre-licensure field experience, mentored experience or similar professional experience",%
Q22_1,Q22,1,NA,"What is the total operating budget - minus staff compensation, but including student compensation - allocated to the career center for the most recently completed fiscal year?

	If you share a budget with other offices, please include only the amount dedicated to the career center. For example,  if you share an operating budget with two other offices totaling $300,000 but the amount allotted specifically to the Career Center is $100,000, then enter the latter amount.
	Please DO NOT include endowed funds or expendable gifts (you will enter these in the following question)
	Please include student staff compensation but NOT staff compensation
	Please enter a whole dollar amount without symbols, commas, or abbreviations (e.g., 95000) - Amount utilized for funded internships",NA,What is the total operating budget,"minus staff compensation, but including student compensation","allocated to the career center for the most recently completed fiscal year?

	If you share a budget with other offices, please include only the amount dedicated to the career center. For example,  if you share an operating budget with two other offices totaling $300,000 but the amount allotted specifically to the Career Center is $100,000, then enter the latter amount.
	Please DO NOT include endowed funds or expendable gifts (you will enter these in the following question)
	Please include student staff compensation but NOT staff compensation
	Please enter a whole dollar amount without symbols, commas, or abbreviations (e.g., 95000)",Amount utilized for funded internships
Q22_4,Q22,4,NA,"What is the total operating budget - minus staff compensation, but including student compensation - allocated to the career center for the most recently completed fiscal year?

	If you share a budget with other offices, please include only the amount dedicated to the career center. For example,  if you share an operating budget with two other offices totaling $300,000 but the amount allotted specifically to the Career Center is $100,000, then enter the latter amount.
	Please DO NOT include endowed funds or expendable gifts (you will enter these in the following question)
	Please include student staff compensation but NOT staff compensation
	Please enter a whole dollar amount without symbols, commas, or abbreviations (e.g., 95000) - Amount utilized for student staff compensation",NA,What is the total operating budget,"minus staff compensation, but including student compensation","allocated to the career center for the most recently completed fiscal year?

	If you share a budget with other offices, please include only the amount dedicated to the career center. For example,  if you share an operating budget with two other offices totaling $300,000 but the amount allotted specifically to the Career Center is $100,000, then enter the latter amount.
	Please DO NOT include endowed funds or expendable gifts (you will enter these in the following question)
	Please include student staff compensation but NOT staff compensation
	Please enter a whole dollar amount without symbols, commas, or abbreviations (e.g., 95000)",Amount utilized for student staff compensation
Q22_2,Q22,2,NA,"What is the total operating budget - minus staff compensation, but including student compensation - allocated to the career center for the most recently completed fiscal year?

	If you share a budget with other offices, please include only the amount dedicated to the career center. For example,  if you share an operating budget with two other offices totaling $300,000 but the amount allotted specifically to the Career Center is $100,000, then enter the latter amount.
	Please DO NOT include endowed funds or expendable gifts (you will enter these in the following question)
	Please include student staff compensation but NOT staff compensation
	Please enter a whole dollar amount without symbols, commas, or abbreviations (e.g., 95000) - Other",NA,What is the total operating budget,"minus staff compensation, but including student compensation","allocated to the career center for the most recently completed fiscal year?

	If you share a budget with other offices, please include only the amount dedicated to the career center. For example,  if you share an operating budget with two other offices totaling $300,000 but the amount allotted specifically to the Career Center is $100,000, then enter the latter amount.
	Please DO NOT include endowed funds or expendable gifts (you will enter these in the following question)
	Please include student staff compensation but NOT staff compensation
	Please enter a whole dollar amount without symbols, commas, or abbreviations (e.g., 95000)",Other
Q23_1_1,Q23,1,1,"Please indicate the funding amounts outside of your operating budget that were available to your office to spend during the most recently completed fiscal year. Amounts should include funds available to support student internships, specific programs, etc.

	Please enter a whole dollar amount without symbols, commas, or abbreviations (e.g., 95000)
	Please do not leave blank - Income from endowed funds - Amount utilized for funded internships ($)",NA,"Please indicate the funding amounts outside of your operating budget that were available to your office to spend during the most recently completed fiscal year. Amounts should include funds available to support student internships, specific programs, etc.

	Please enter a whole dollar amount without symbols, commas, or abbreviations (e.g., 95000)
	Please do not leave blank",Income from endowed funds,Amount utilized for funded internships ($),NA
Q23_1_2,Q23,1,2,"Please indicate the funding amounts outside of your operating budget that were available to your office to spend during the most recently completed fiscal year. Amounts should include funds available to support student internships, specific programs, etc.

	Please enter a whole dollar amount without symbols, commas, or abbreviations (e.g., 95000)
	Please do not leave blank - Income from endowed funds - Other ($)",NA,"Please indicate the funding amounts outside of your operating budget that were available to your office to spend during the most recently completed fiscal year. Amounts should include funds available to support student internships, specific programs, etc.

	Please enter a whole dollar amount without symbols, commas, or abbreviations (e.g., 95000)
	Please do not leave blank",Income from endowed funds,Other ($),NA
Q23_1_5,Q23,1,5,"Please indicate the funding amounts outside of your operating budget that were available to your office to spend during the most recently completed fiscal year. Amounts should include funds available to support student internships, specific programs, etc.

	Please enter a whole dollar amount without symbols, commas, or abbreviations (e.g., 95000)
	Please do not leave blank - Income from endowed funds - Total",NA,"Please indicate the funding amounts outside of your operating budget that were available to your office to spend during the most recently completed fiscal year. Amounts should include funds available to support student internships, specific programs, etc.

	Please enter a whole dollar amount without symbols, commas, or abbreviations (e.g., 95000)
	Please do not leave blank",Income from endowed funds,Total,NA
