Question,main,sub1,sub2,Description,TBD,dim1,dim2,dim3
Q20_4_2,Q20,4,2,"Reporting from your 2022-23 academic year data, how many of the following Unique Employers did your career center engage with?


	Please include only those engagements that were coordinated by your staff.
	Please include both ""virtual"" and on-campus numbers. We recognize that not all items below will having a corresponding ""virtual"" option.
	Please only count a specific employer multiple times IF that employer returns to campus more than once to recruit for different positions/divisions. 
	If your institution tracks alumnae/i employers separately, please combine those figures with your non-alumnae/i employer data.
	If you do not know the answer to or do not track a particular data point, please leave it blank; DO NOT include estimates or guesses. - Number of employers who conducted interviews through consortia/off-campus e... - Number of employers who conducted interviews through consortia/off-campus events - # Virtual","Reporting from your 2022-23 academic year data, how many of the following Unique Employers did your career center engage with?


	Please include only those engagements that were coordinated by your staff.
	Please include both ""virtual"" and on-campus numbers. We recognize that not all items below will having a corresponding ""virtual"" option.
	Please only count a specific employer multiple times IF that employer returns to campus more than once to recruit for different positions/divisions. 
	If your institution tracks alumnae/i employers separately, please combine those figures with your non-alumnae/i employer data.
	If you do not know the answer to or do not track a particular data point, please leave it blank; DO NOT include estimates or guesses.",Number of employers who conducted interviews through consortia/off-campus e...,# Virtual,NA
Q21_1,Q21,1,NA,"For the academic year 2022-23, please indicate the total undergraduate class size for the following: - First Years","For the academic year 2022-23, please indicate the total undergraduate class size for the following:",First Years,NA,NA
Q21_2,Q21,2,NA,"For the academic year 2022-23, please indicate the total undergraduate class size for the following: - Sophomores","For the academic year 2022-23, please indicate the total undergraduate class size for the following:",Sophomores,NA,NA
Q21_3,Q21,3,NA,"For the academic year 2022-23, please indicate the total undergraduate class size for the following: - Juniors","For the academic year 2022-23, please indicate the total undergraduate class size for the following:",Juniors,NA,NA
Q21_4,Q21,4,NA,"For the academic year 2022-23, please indicate the total undergraduate class size for the following: - Seniors","For the academic year 2022-23, please indicate the total undergraduate class size for the following:",Seniors,NA,NA
Q22_1_1,Q22,1,1,"Please reflect the 2022-23 academic year data in your answers. In this question, we are looking for total numbers/volume of appointments (including in-person, drop-in, video chat or phone) and email consultations that professional staff had with students and alumni.


        If you do not know the answer to or do not track a particular data point, please leave it blank; DO NOT include estimates or guesses. - # appointments with first-year students by professional staff - Total # of appointments (in-person, phone, video chat)","Please reflect the 2022-23 academic year data in your answers. In this question, we are looking for total numbers/volume of appointments (including in-person, drop-in, video chat or phone) and email consultations that professional staff had with students and alumni.


	If you do not know the answer to or do not track a particular data point, please leave it blank; DO NOT include estimates or guesses.",# appointments with first-year students by professional staff,"Total # of appointments (in-person, phone, video chat)",NA
Q22_1_2,Q22,1,2,"Please reflect the 2022-23 academic year data in your answers. In this question, we are looking for total numbers/volume of appointments (including in-person, drop-in, video chat or phone) and email consultations that professional staff had with students and alumni.


	If you do not know the answer to or do not track a particular data point, please leave it blank; DO NOT include estimates or guesses. - # appointments with first-year students by professional staff - Total # of email consultations","Please reflect the 2022-23 academic year data in your answers. In this question, we are looking for total numbers/volume of appointments (including in-person, drop-in, video chat or phone) and email consultations that professional staff had with students and alumni.


	If you do not know the answer to or do not track a particular data point, please leave it blank; DO NOT include estimates or guesses.",# appointments with first-year students by professional staff,Total # of email consultations,NA
Q22_2_1,Q22,2,1,"Please reflect the 2022-23 academic year data in your answers. In this question, we are looking for total numbers/volume of appointments (including in-person, drop-in, video chat or phone) and email consultations that professional staff had with students and alumni.


	If you do not know the answer to or do not track a particular data point, please leave it blank; DO NOT include estimates or guesses. - # appointments with sophomore students by professional staff - Total # of appointments (in-person, phone, video chat)","Please reflect the 2022-23 academic year data in your answers. In this question, we are looking for total numbers/volume of appointments (including in-person, drop-in, video chat or phone) and email consultations that professional staff had with students and alumni.


	If you do not know the answer to or do not track a particular data point, please leave it blank; DO NOT include estimates or guesses.",# appointments with sophomore students by professional staff,"Total # of appointments (in-person, phone, video chat)",NA
Q22_2_2,Q22,2,2,"Please reflect the 2022-23 academic year data in your answers. In this question, we are looking for total numbers/volume of appointments (including in-person, drop-in, video chat or phone) and email consultations that professional staff had with students and alumni.


	If you do not know the answer to or do not track a particular data point, please leave it blank; DO NOT include estimates or guesses. - # appointments with sophomore students by professional staff - Total # of email consultations","Please reflect the 2022-23 academic year data in your answers. In this question, we are looking for total numbers/volume of appointments (including in-person, drop-in, video chat or phone) and email consultations that professional staff had with students and alumni.


	If you do not know the answer to or do not track a particular data point, please leave it blank; DO NOT include estimates or guesses.",# appointments with sophomore students by professional staff,Total # of email consultations,NA
Q22_3_1,Q22,3,1,"Please reflect the 2022-23 academic year data in your answers. In this question, we are looking for total numbers/volume of appointments (including in-person, drop-in, video chat or phone) and email consultations that professional staff had with students and alumni.


	If you do not know the answer to or do not track a particular data point, please leave it blank; DO NOT include estimates or guesses. - # appointments with junior students by professional staff - Total # of appointments (in-person, phone, video chat)","Please reflect the 2022-23 academic year data in your answers. In this question, we are looking for total numbers/volume of appointments (including in-person, drop-in, video chat or phone) and email consultations that professional staff had with students and alumni.


	If you do not know the answer to or do not track a particular data point, please leave it blank; DO NOT include estimates or guesses.",# appointments with junior students by professional staff,"Total # of appointments (in-person, phone, video chat)",NA
Q22_3_2,Q22,3,2,"Please reflect the 2022-23 academic year data in your answers. In this question, we are looking for total numbers/volume of appointments (including in-person, drop-in, video chat or phone) and email consultations that professional staff had with students and alumni.


	If you do not know the answer to or do not track a particular data point, please leave it blank; DO NOT include estimates or guesses. - # appointments with junior students by professional staff - Total # of email consultations","Please reflect the 2022-23 academic year data in your answers. In this question, we are looking for total numbers/volume of appointments (including in-person, drop-in, video chat or phone) and email consultations that professional staff had with students and alumni.


	If you do not know the answer to or do not track a particular data point, please leave it blank; DO NOT include estimates or guesses.",# appointments with junior students by professional staff,Total # of email consultations,NA
Q22_4_1,Q22,4,1,"Please reflect the 2022-23 academic year data in your answers. In this question, we are looking for total numbers/volume of appointments (including in-person, drop-in, video chat or phone) and email consultations that professional staff had with students and alumni.


	If you do not know the answer to or do not track a particular data point, please leave it blank; DO NOT include estimates or guesses. - # appointments with senior students by professional staff - Total # of appointments (in-person, phone, video chat)","Please reflect the 2022-23 academic year data in your answers. In this question, we are looking for total numbers/volume of appointments (including in-person, drop-in, video chat or phone) and email consultations that professional staff had with students and alumni.


	If you do not know the answer to or do not track a particular data point, please leave it blank; DO NOT include estimates or guesses.",# appointments with senior students by professional staff,"Total # of appointments (in-person, phone, video chat)",NA
Q22_4_2,Q22,4,2,"Please reflect the 2022-23 academic year data in your answers. In this question, we are looking for total numbers/volume of appointments (including in-person, drop-in, video chat or phone) and email consultations that professional staff had with students and alumni.


	If you do not know the answer to or do not track a particular data point, please leave it blank; DO NOT include estimates or guesses. - # appointments with senior students by professional staff - Total # of email consultations","Please reflect the 2022-23 academic year data in your answers. In this question, we are looking for total numbers/volume of appointments (including in-person, drop-in, video chat or phone) and email consultations that professional staff had with students and alumni.


	If you do not know the answer to or do not track a particular data point, please leave it blank; DO NOT include estimates or guesses.",# appointments with senior students by professional staff,Total # of email consultations,NA
Q22_5_1,Q22,5,1,"Please reflect the 2022-23 academic year data in your answers. In this question, we are looking for total numbers/volume of appointments (including in-person, drop-in, video chat or phone) and email consultations that professional staff had with students and alumni.


	If you do not know the answer to or do not track a particular data point, please leave it blank; DO NOT include estimates or guesses. - TOTAL #  appointments with students by professional staff - Total # of appointments (in-person, phone, video chat)","Please reflect the 2022-23 academic year data in your answers. In this question, we are looking for total numbers/volume of appointments (including in-person, drop-in, video chat or phone) and email consultations that professional staff had with students and alumni.


	If you do not know the answer to or do not track a particular data point, please leave it blank; DO NOT include estimates or guesses.",TOTAL #  appointments with students by professional staff,"Total # of appointments (in-person, phone, video chat)",NA
Q22_5_2,Q22,5,2,"Please reflect the 2022-23 academic year data in your answers. In this question, we are looking for total numbers/volume of appointments (including in-person, drop-in, video chat or phone) and email consultations that professional staff had with students and alumni.


	If you do not know the answer to or do not track a particular data point, please leave it blank; DO NOT include estimates or guesses. - TOTAL #  appointments with students by professional staff - Total # of email consultations","Please reflect the 2022-23 academic year data in your answers. In this question, we are looking for total numbers/volume of appointments (including in-person, drop-in, video chat or phone) and email consultations that professional staff had with students and alumni.


	If you do not know the answer to or do not track a particular data point, please leave it blank; DO NOT include estimates or guesses.",TOTAL #  appointments with students by professional staff,Total # of email consultations,NA
Q22_6_1,Q22,6,1,"Please reflect the 2022-23 academic year data in your answers. In this question, we are looking for total numbers/volume of appointments (including in-person, drop-in, video chat or phone) and email consultations that professional staff had with students and alumni.


	If you do not know the answer to or do not track a particular data point, please leave it blank; DO NOT include estimates or guesses. - # appointments with alumni by professional staff - Total # of appointments (in-person, phone, video chat)","Please reflect the 2022-23 academic year data in your answers. In this question, we are looking for total numbers/volume of appointments (including in-person, drop-in, video chat or phone) and email consultations that professional staff had with students and alumni.


	If you do not know the answer to or do not track a particular data point, please leave it blank; DO NOT include estimates or guesses.",# appointments with alumni by professional staff,"Total # of appointments (in-person, phone, video chat)",NA
Q22_6_2,Q22,6,2,"Please reflect the 2022-23 academic year data in your answers. In this question, we are looking for total numbers/volume of appointments (including in-person, drop-in, video chat or phone) and email consultations that professional staff had with students and alumni.


	If you do not know the answer to or do not track a particular data point, please leave it blank; DO NOT include estimates or guesses. - # appointments with alumni by professional staff - Total # of email consultations","Please reflect the 2022-23 academic year data in your answers. In this question, we are looking for total numbers/volume of appointments (including in-person, drop-in, video chat or phone) and email consultations that professional staff had with students and alumni.


	If you do not know the answer to or do not track a particular data point, please leave it blank; DO NOT include estimates or guesses.",# appointments with alumni by professional staff,Total # of email consultations,NA
Q23_1_5,Q23,1,5,"Please reflect the 2022-23 academic year data in your answers. In this question, we are looking for the percentage of students in a particular class year who engaged with the career center through appointments (professional & peer staff) and events (workshops, programs, info sessions, etc.).


	To determine ""% engaged"" values, divide the number of unique students engaged by the total number of students in that class. 
	If you do not know the answer to or do not track a particular data point, please leave it blank; please do not include estimates or guesses. - First-Year - % engaged through appointment with professional staff","Please reflect the 2022-23 academic year data in your answers. In this question, we are looking for the percentage of students in a particular class year who engaged with the career center through appointments (professional & peer staff) and events (workshops, programs, info sessions, etc.).


	To determine ""% engaged"" values, divide the number of unique students engaged by the total number of students in that class. 
	If you do not know the answer to or do not track a particular data point, please leave it blank; please do not include estimates or guesses.",First-Year,% engaged through appointment with professional staff,NA
Q23_1_2,Q23,1,2,"Please reflect the 2022-23 academic year data in your answers. In this question, we are looking for the percentage of students in a particular class year who engaged with the career center through appointments (professional & peer staff) and events (workshops, programs, info sessions, etc.).


	To determine ""% engaged"" values, divide the number of unique students engaged by the total number of students in that class. 
	If you do not know the answer to or do not track a particular data point, please leave it blank; please do not include estimates or guesses. - First-Year - % engaged through appointment with peer ""advisor"" staff","Please reflect the 2022-23 academic year data in your answers. In this question, we are looking for the percentage of students in a particular class year who engaged with the career center through appointments (professional & peer staff) and events (workshops, programs, info sessions, etc.).


	To determine ""% engaged"" values, divide the number of unique students engaged by the total number of students in that class. 
	If you do not know the answer to or do not track a particular data point, please leave it blank; please do not include estimates or guesses.",First-Year,"% engaged through appointment with peer ""advisor"" staff",NA
Q23_1_3,Q23,1,3,"Please reflect the 2022-23 academic year data in your answers. In this question, we are looking for the percentage of students in a particular class year who engaged with the career center through appointments (professional & peer staff) and events (workshops, programs, info sessions, etc.).


	To determine ""% engaged"" values, divide the number of unique students engaged by the total number of students in that class. 
	If you do not know the answer to or do not track a particular data point, please leave it blank; please do not include estimates or guesses. - First-Year - % engaged through programs and events","Please reflect the 2022-23 academic year data in your answers. In this question, we are looking for the percentage of students in a particular class year who engaged with the career center through appointments (professional & peer staff) and events (workshops, programs, info sessions, etc.).


	To determine ""% engaged"" values, divide the number of unique students engaged by the total number of students in that class. 
	If you do not know the answer to or do not track a particular data point, please leave it blank; please do not include estimates or guesses.",First-Year,% engaged through programs and events,NA
Q23_1_4,Q23,1,4,"Please reflect the 2022-23 academic year data in your answers. In this question, we are looking for the percentage of students in a particular class year who engaged with the career center through appointments (professional & peer staff) and events (workshops, programs, info sessions, etc.).


	To determine ""% engaged"" values, divide the number of unique students engaged by the total number of students in that class. 
	If you do not know the answer to or do not track a particular data point, please leave it blank; please do not include estimates or guesses. - First-Year - Total % of class engaged","Please reflect the 2022-23 academic year data in your answers. In this question, we are looking for the percentage of students in a particular class year who engaged with the career center through appointments (professional & peer staff) and events (workshops, programs, info sessions, etc.).


	To determine ""% engaged"" values, divide the number of unique students engaged by the total number of students in that class. 
	If you do not know the answer to or do not track a particular data point, please leave it blank; please do not include estimates or guesses.",First-Year,Total % of class engaged,NA
Q23_2_5,Q23,2,5,"Please reflect the 2022-23 academic year data in your answers. In this question, we are looking for the percentage of students in a particular class year who engaged with the career center through appointments (professional & peer staff) and events (workshops, programs, info sessions, etc.).


	To determine ""% engaged"" values, divide the number of unique students engaged by the total number of students in that class. 
	If you do not know the answer to or do not track a particular data point, please leave it blank; please do not include estimates or guesses. - Sophomore - % engaged through appointment with professional staff","Please reflect the 2022-23 academic year data in your answers. In this question, we are looking for the percentage of students in a particular class year who engaged with the career center through appointments (professional & peer staff) and events (workshops, programs, info sessions, etc.).


	To determine ""% engaged"" values, divide the number of unique students engaged by the total number of students in that class. 
	If you do not know the answer to or do not track a particular data point, please leave it blank; please do not include estimates or guesses.",Sophomore,% engaged through appointment with professional staff,NA
Q23_2_2,Q23,2,2,"Please reflect the 2022-23 academic year data in your answers. In this question, we are looking for the percentage of students in a particular class year who engaged with the career center through appointments (professional & peer staff) and events (workshops, programs, info sessions, etc.).


	To determine ""% engaged"" values, divide the number of unique students engaged by the total number of students in that class. 
	If you do not know the answer to or do not track a particular data point, please leave it blank; please do not include estimates or guesses. - Sophomore - % engaged through appointment with peer ""advisor"" staff","Please reflect the 2022-23 academic year data in your answers. In this question, we are looking for the percentage of students in a particular class year who engaged with the career center through appointments (professional & peer staff) and events (workshops, programs, info sessions, etc.).


	To determine ""% engaged"" values, divide the number of unique students engaged by the total number of students in that class. 
	If you do not know the answer to or do not track a particular data point, please leave it blank; please do not include estimates or guesses.",Sophomore,"% engaged through appointment with peer ""advisor"" staff",NA
Q23_2_3,Q23,2,3,"Please reflect the 2022-23 academic year data in your answers. In this question, we are looking for the percentage of students in a particular class year who engaged with the career center through appointments (professional & peer staff) and events (workshops, programs, info sessions, etc.).


	To determine ""% engaged"" values, divide the number of unique students engaged by the total number of students in that class. 
	If you do not know the answer to or do not track a particular data point, please leave it blank; please do not include estimates or guesses. - Sophomore - % engaged through programs and events","Please reflect the 2022-23 academic year data in your answers. In this question, we are looking for the percentage of students in a particular class year who engaged with the career center through appointments (professional & peer staff) and events (workshops, programs, info sessions, etc.).


	To determine ""% engaged"" values, divide the number of unique students engaged by the total number of students in that class. 
	If you do not know the answer to or do not track a particular data point, please leave it blank; please do not include estimates or guesses.",Sophomore,% engaged through programs and events,NA
Q23_2_4,Q23,2,4,"Please reflect the 2022-23 academic year data in your answers. In this question, we are looking for the percentage of students in a particular class year who engaged with the career center through appointments (professional & peer staff) and events (workshops, programs, info sessions, etc.).


	To determine ""% engaged"" values, divide the number of unique students engaged by the total number of students in that class. 
	If you do not know the answer to or do not track a particular data point, please leave it blank; please do not include estimates or guesses. - Sophomore - Total % of class engaged","Please reflect the 2022-23 academic year data in your answers. In this question, we are looking for the percentage of students in a particular class year who engaged with the career center through appointments (professional & peer staff) and events (workshops, programs, info sessions, etc.).


	To determine ""% engaged"" values, divide the number of unique students engaged by the total number of students in that class. 
	If you do not know the answer to or do not track a particular data point, please leave it blank; please do not include estimates or guesses.",Sophomore,Total % of class engaged,NA
Q23_3_5,Q23,3,5,"Please reflect the 2022-23 academic year data in your answers. In this question, we are looking for the percentage of students in a particular class year who engaged with the career center through appointments (professional & peer staff) and events (workshops, programs, info sessions, etc.).


	To determine ""% engaged"" values, divide the number of unique students engaged by the total number of students in that class. 
	If you do not know the answer to or do not track a particular data point, please leave it blank; please do not include estimates or guesses. - Junior - % engaged through appointment with professional staff","Please reflect the 2022-23 academic year data in your answers. In this question, we are looking for the percentage of students in a particular class year who engaged with the career center through appointments (professional & peer staff) and events (workshops, programs, info sessions, etc.).


	To determine ""% engaged"" values, divide the number of unique students engaged by the total number of students in that class. 
	If you do not know the answer to or do not track a particular data point, please leave it blank; please do not include estimates or guesses.",Junior,% engaged through appointment with professional staff,NA
Q23_3_2,Q23,3,2,"Please reflect the 2022-23 academic year data in your answers. In this question, we are looking for the percentage of students in a particular class year who engaged with the career center through appointments (professional & peer staff) and events (workshops, programs, info sessions, etc.).


	To determine ""% engaged"" values, divide the number of unique students engaged by the total number of students in that class. 
	If you do not know the answer to or do not track a particular data point, please leave it blank; please do not include estimates or guesses. - Junior - % engaged through appointment with peer ""advisor"" staff","Please reflect the 2022-23 academic year data in your answers. In this question, we are looking for the percentage of students in a particular class year who engaged with the career center through appointments (professional & peer staff) and events (workshops, programs, info sessions, etc.).


	To determine ""% engaged"" values, divide the number of unique students engaged by the total number of students in that class. 
	If you do not know the answer to or do not track a particular data point, please leave it blank; please do not include estimates or guesses.",Junior,"% engaged through appointment with peer ""advisor"" staff",NA
Q23_3_3,Q23,3,3,"Please reflect the 2022-23 academic year data in your answers. In this question, we are looking for the percentage of students in a particular class year who engaged with the career center through appointments (professional & peer staff) and events (workshops, programs, info sessions, etc.).


	To determine ""% engaged"" values, divide the number of unique students engaged by the total number of students in that class. 
	If you do not know the answer to or do not track a particular data point, please leave it blank; please do not include estimates or guesses. - Junior - % engaged through programs and events","Please reflect the 2022-23 academic year data in your answers. In this question, we are looking for the percentage of students in a particular class year who engaged with the career center through appointments (professional & peer staff) and events (workshops, programs, info sessions, etc.).


	To determine ""% engaged"" values, divide the number of unique students engaged by the total number of students in that class. 
	If you do not know the answer to or do not track a particular data point, please leave it blank; please do not include estimates or guesses.",Junior,% engaged through programs and events,NA
Q23_3_4,Q23,3,4,"Please reflect the 2022-23 academic year data in your answers. In this question, we are looking for the percentage of students in a particular class year who engaged with the career center through appointments (professional & peer staff) and events (workshops, programs, info sessions, etc.).


	To determine ""% engaged"" values, divide the number of unique students engaged by the total number of students in that class. 
	If you do not know the answer to or do not track a particular data point, please leave it blank; please do not include estimates or guesses. - Junior - Total % of class engaged","Please reflect the 2022-23 academic year data in your answers. In this question, we are looking for the percentage of students in a particular class year who engaged with the career center through appointments (professional & peer staff) and events (workshops, programs, info sessions, etc.).


	To determine ""% engaged"" values, divide the number of unique students engaged by the total number of students in that class. 
	If you do not know the answer to or do not track a particular data point, please leave it blank; please do not include estimates or guesses.",Junior,Total % of class engaged,NA
Q23_4_5,Q23,4,5,"Please reflect the 2022-23 academic year data in your answers. In this question, we are looking for the percentage of students in a particular class year who engaged with the career center through appointments (professional & peer staff) and events (workshops, programs, info sessions, etc.).


	To determine ""% engaged"" values, divide the number of unique students engaged by the total number of students in that class. 
	If you do not know the answer to or do not track a particular data point, please leave it blank; please do not include estimates or guesses. - Senior - % engaged through appointment with professional staff","Please reflect the 2022-23 academic year data in your answers. In this question, we are looking for the percentage of students in a particular class year who engaged with the career center through appointments (professional & peer staff) and events (workshops, programs, info sessions, etc.).


	To determine ""% engaged"" values, divide the number of unique students engaged by the total number of students in that class. 
	If you do not know the answer to or do not track a particular data point, please leave it blank; please do not include estimates or guesses.",Senior,% engaged through appointment with professional staff,NA
Q23_4_2,Q23,4,2,"Please reflect the 2022-23 academic year data in your answers. In this question, we are looking for the percentage of students in a particular class year who engaged with the career center through appointments (professional & peer staff) and events (workshops, programs, info sessions, etc.).


	To determine ""% engaged"" values, divide the number of unique students engaged by the total number of students in that class. 
	If you do not know the answer to or do not track a particular data point, please leave it blank; please do not include estimates or guesses. - Senior - % engaged through appointment with peer ""advisor"" staff","Please reflect the 2022-23 academic year data in your answers. In this question, we are looking for the percentage of students in a particular class year who engaged with the career center through appointments (professional & peer staff) and events (workshops, programs, info sessions, etc.).


	To determine ""% engaged"" values, divide the number of unique students engaged by the total number of students in that class. 
	If you do not know the answer to or do not track a particular data point, please leave it blank; please do not include estimates or guesses.",Senior,"% engaged through appointment with peer ""advisor"" staff",NA
Q23_4_3,Q23,4,3,"Please reflect the 2022-23 academic year data in your answers. In this question, we are looking for the percentage of students in a particular class year who engaged with the career center through appointments (professional & peer staff) and events (workshops, programs, info sessions, etc.).


	To determine ""% engaged"" values, divide the number of unique students engaged by the total number of students in that class. 
	If you do not know the answer to or do not track a particular data point, please leave it blank; please do not include estimates or guesses. - Senior - % engaged through programs and events","Please reflect the 2022-23 academic year data in your answers. In this question, we are looking for the percentage of students in a particular class year who engaged with the career center through appointments (professional & peer staff) and events (workshops, programs, info sessions, etc.).


	To determine ""% engaged"" values, divide the number of unique students engaged by the total number of students in that class. 
	If you do not know the answer to or do not track a particular data point, please leave it blank; please do not include estimates or guesses.",Senior,% engaged through programs and events,NA
Q23_4_4,Q23,4,4,"Please reflect the 2022-23 academic year data in your answers. In this question, we are looking for the percentage of students in a particular class year who engaged with the career center through appointments (professional & peer staff) and events (workshops, programs, info sessions, etc.).


	To determine ""% engaged"" values, divide the number of unique students engaged by the total number of students in that class. 
	If you do not know the answer to or do not track a particular data point, please leave it blank; please do not include estimates or guesses. - Senior - Total % of class engaged","Please reflect the 2022-23 academic year data in your answers. In this question, we are looking for the percentage of students in a particular class year who engaged with the career center through appointments (professional & peer staff) and events (workshops, programs, info sessions, etc.).


	To determine ""% engaged"" values, divide the number of unique students engaged by the total number of students in that class. 
	If you do not know the answer to or do not track a particular data point, please leave it blank; please do not include estimates or guesses.",Senior,Total % of class engaged,NA
Q23_5_5,Q23,5,5,"Please reflect the 2022-23 academic year data in your answers. In this question, we are looking for the percentage of students in a particular class year who engaged with the career center through appointments (professional & peer staff) and events (workshops, programs, info sessions, etc.).


	To determine ""% engaged"" values, divide the number of unique students engaged by the total number of students in that class. 
	If you do not know the answer to or do not track a particular data point, please leave it blank; please do not include estimates or guesses. - TOTAL (all classes) - % engaged through appointment with professional staff","Please reflect the 2022-23 academic year data in your answers. In this question, we are looking for the percentage of students in a particular class year who engaged with the career center through appointments (professional & peer staff) and events (workshops, programs, info sessions, etc.).


	To determine ""% engaged"" values, divide the number of unique students engaged by the total number of students in that class. 
	If you do not know the answer to or do not track a particular data point, please leave it blank; please do not include estimates or guesses.",TOTAL (all classes),% engaged through appointment with professional staff,NA
Q23_5_2,Q23,5,2,"Please reflect the 2022-23 academic year data in your answers. In this question, we are looking for the percentage of students in a particular class year who engaged with the career center through appointments (professional & peer staff) and events (workshops, programs, info sessions, etc.).


	To determine ""% engaged"" values, divide the number of unique students engaged by the total number of students in that class. 
	If you do not know the answer to or do not track a particular data point, please leave it blank; please do not include estimates or guesses. - TOTAL (all classes) - % engaged through appointment with peer ""advisor"" staff","Please reflect the 2022-23 academic year data in your answers. In this question, we are looking for the percentage of students in a particular class year who engaged with the career center through appointments (professional & peer staff) and events (workshops, programs, info sessions, etc.).


	To determine ""% engaged"" values, divide the number of unique students engaged by the total number of students in that class. 
	If you do not know the answer to or do not track a particular data point, please leave it blank; please do not include estimates or guesses.",TOTAL (all classes),"% engaged through appointment with peer ""advisor"" staff",NA
Q23_5_3,Q23,5,3,"Please reflect the 2022-23 academic year data in your answers. In this question, we are looking for the percentage of students in a particular class year who engaged with the career center through appointments (professional & peer staff) and events (workshops, programs, info sessions, etc.).


	To determine ""% engaged"" values, divide the number of unique students engaged by the total number of students in that class. 
	If you do not know the answer to or do not track a particular data point, please leave it blank; please do not include estimates or guesses. - TOTAL (all classes) - % engaged through programs and events","Please reflect the 2022-23 academic year data in your answers. In this question, we are looking for the percentage of students in a particular class year who engaged with the career center through appointments (professional & peer staff) and events (workshops, programs, info sessions, etc.).


	To determine ""% engaged"" values, divide the number of unique students engaged by the total number of students in that class. 
	If you do not know the answer to or do not track a particular data point, please leave it blank; please do not include estimates or guesses.",TOTAL (all classes),% engaged through programs and events,NA
Q23_5_4,Q23,5,4,"Please reflect the 2022-23 academic year data in your answers. In this question, we are looking for the percentage of students in a particular class year who engaged with the career center through appointments (professional & peer staff) and events (workshops, programs, info sessions, etc.).


	To determine ""% engaged"" values, divide the number of unique students engaged by the total number of students in that class. 
	If you do not know the answer to or do not track a particular data point, please leave it blank; please do not include estimates or guesses. - TOTAL (all classes) - Total % of class engaged","Please reflect the 2022-23 academic year data in your answers. In this question, we are looking for the percentage of students in a particular class year who engaged with the career center through appointments (professional & peer staff) and events (workshops, programs, info sessions, etc.).


	To determine ""% engaged"" values, divide the number of unique students engaged by the total number of students in that class. 
	If you do not know the answer to or do not track a particular data point, please leave it blank; please do not include estimates or guesses.",TOTAL (all classes),Total % of class engaged,NA
Q24_1_1,Q24,1,1,"What percentage of your 2023 graduates completed the following type of experience by graduation?


	If you do not track a particular data point, please leave it blank; DO NOT include estimates or guesses. - Internship (including pre-licensure field experience, NOT including mentore... - Internship (including pre-licensure field experience, NOT including mentored undergraduate research) - %","What percentage of your 2023 graduates completed the following type of experience by graduation?


	If you do not track a particular data point, please leave it blank; DO NOT include estimates or guesses.","Internship (including pre-licensure field experience, NOT including mentore...","Internship (including pre-licensure field experience, NOT including mentored undergraduate research)",%
Q24_2_1,Q24,2,1,"What percentage of your 2023 graduates completed the following type of experience by graduation?


	If you do not track a particular data point, please leave it blank; DO NOT include estimates or guesses. - Mentored research experience - %","What percentage of your 2023 graduates completed the following type of experience by graduation?


	If you do not track a particular data point, please leave it blank; DO NOT include estimates or guesses.",Mentored research experience,%,NA
Q24_3_1,Q24,3,1,"What percentage of your 2023 graduates completed the following type of experience by graduation?


	If you do not track a particular data point, please leave it blank; DO NOT include estimates or guesses. - Internship for academic credit - %","What percentage of your 2023 graduates completed the following type of experience by graduation?


	If you do not track a particular data point, please leave it blank; DO NOT include estimates or guesses.",Internship for academic credit,%,NA
Q24_4_1,Q24,4,1,"What percentage of your 2023 graduates completed the following type of experience by graduation?


	If you do not track a particular data point, please leave it blank; DO NOT include estimates or guesses. - Internship funded by your institution - %","What percentage of your 2023 graduates completed the following type of experience by graduation?


	If you do not track a particular data point, please leave it blank; DO NOT include estimates or guesses.",Internship funded by your institution,%,NA
Q24_5_1,Q24,5,1,"What percentage of your 2023 graduates completed the following type of experience by graduation?


	If you do not track a particular data point, please leave it blank; DO NOT include estimates or guesses. - Paid internship - %","What percentage of your 2023 graduates completed the following type of experience by graduation?


	If you do not track a particular data point, please leave it blank; DO NOT include estimates or guesses.",Paid internship,%,NA
Q24_6_1,Q24,6,1,"What percentage of your 2023 graduates completed the following type of experience by graduation?


	If you do not track a particular data point, please leave it blank; DO NOT include estimates or guesses. - ANY internship, pre-licensure field experience, mentored experience or simi... - ANY internship, pre-licensure field experience, mentored experience or similar professional experience - %","What percentage of your 2023 graduates completed the following type of experience by graduation?


	If you do not track a particular data point, please leave it blank; DO NOT include estimates or guesses.","ANY internship, pre-licensure field experience, mentored experience or simi...","ANY internship, pre-licensure field experience, mentored experience or similar professional experience",%
