Question,main,sub1,sub2,Description,Description_short,dim1,dim2
Q21_1_4,Q21,1,4,"Please reflect the 2020-21 academic year data in your answers. In this question, we are looking for the percentage of students in a particular class year who engaged with the career center through appointments (professional & peer staff) and events (workshops, programs, info sessions, etc.).


	To determine ""% engaged"" values, divide the number of unique students engaged by the total number of students in that class. 
	If you do not know the answer to or do not track a particular data point, please leave it blank; please do not include estimates or guesses.",NA,First-Year,Total % of class engaged
Q21_2_5,Q21,2,5,"Please reflect the 2020-21 academic year data in your answers. In this question, we are looking for the percentage of students in a particular class year who engaged with the career center through appointments (professional & peer staff) and events (workshops, programs, info sessions, etc.).


	To determine ""% engaged"" values, divide the number of unique students engaged by the total number of students in that class. 
	If you do not know the answer to or do not track a particular data point, please leave it blank; please do not include estimates or guesses.",NA,Sophomore,% engaged through appointment with professional staff
Q21_2_2,Q21,2,2,"Please reflect the 2020-21 academic year data in your answers. In this question, we are looking for the percentage of students in a particular class year who engaged with the career center through appointments (professional & peer staff) and events (workshops, programs, info sessions, etc.).


	To determine ""% engaged"" values, divide the number of unique students engaged by the total number of students in that class. 
	If you do not know the answer to or do not track a particular data point, please leave it blank; please do not include estimates or guesses.",NA,Sophomore,"% engaged through appointment with peer ""advisor"" staff"
Q21_2_3,Q21,2,3,"Please reflect the 2020-21 academic year data in your answers. In this question, we are looking for the percentage of students in a particular class year who engaged with the career center through appointments (professional & peer staff) and events (workshops, programs, info sessions, etc.).


	To determine ""% engaged"" values, divide the number of unique students engaged by the total number of students in that class. 
	If you do not know the answer to or do not track a particular data point, please leave it blank; please do not include estimates or guesses.",NA,Sophomore,% engaged through programs and events
Q21_2_4,Q21,2,4,"Please reflect the 2020-21 academic year data in your answers. In this question, we are looking for the percentage of students in a particular class year who engaged with the career center through appointments (professional & peer staff) and events (workshops, programs, info sessions, etc.).


	To determine ""% engaged"" values, divide the number of unique students engaged by the total number of students in that class. 
	If you do not know the answer to or do not track a particular data point, please leave it blank; please do not include estimates or guesses.",NA,Sophomore,Total % of class engaged
Q21_3_5,Q21,3,5,"Please reflect the 2020-21 academic year data in your answers. In this question, we are looking for the percentage of students in a particular class year who engaged with the career center through appointments (professional & peer staff) and events (workshops, programs, info sessions, etc.).


	To determine ""% engaged"" values, divide the number of unique students engaged by the total number of students in that class. 
	If you do not know the answer to or do not track a particular data point, please leave it blank; please do not include estimates or guesses.",NA,Junior,% engaged through appointment with professional staff
Q21_3_2,Q21,3,2,"Please reflect the 2020-21 academic year data in your answers. In this question, we are looking for the percentage of students in a particular class year who engaged with the career center through appointments (professional & peer staff) and events (workshops, programs, info sessions, etc.).


	To determine ""% engaged"" values, divide the number of unique students engaged by the total number of students in that class. 
	If you do not know the answer to or do not track a particular data point, please leave it blank; please do not include estimates or guesses.",NA,Junior,"% engaged through appointment with peer ""advisor"" staff"
Q21_3_3,Q21,3,3,"Please reflect the 2020-21 academic year data in your answers. In this question, we are looking for the percentage of students in a particular class year who engaged with the career center through appointments (professional & peer staff) and events (workshops, programs, info sessions, etc.).


	To determine ""% engaged"" values, divide the number of unique students engaged by the total number of students in that class. 
	If you do not know the answer to or do not track a particular data point, please leave it blank; please do not include estimates or guesses.",NA,Junior,% engaged through programs and events
Q21_3_4,Q21,3,4,"Please reflect the 2020-21 academic year data in your answers. In this question, we are looking for the percentage of students in a particular class year who engaged with the career center through appointments (professional & peer staff) and events (workshops, programs, info sessions, etc.).


	To determine ""% engaged"" values, divide the number of unique students engaged by the total number of students in that class. 
	If you do not know the answer to or do not track a particular data point, please leave it blank; please do not include estimates or guesses.",NA,Junior,Total % of class engaged
Q21_4_5,Q21,4,5,"Please reflect the 2020-21 academic year data in your answers. In this question, we are looking for the percentage of students in a particular class year who engaged with the career center through appointments (professional & peer staff) and events (workshops, programs, info sessions, etc.).


	To determine ""% engaged"" values, divide the number of unique students engaged by the total number of students in that class. 
	If you do not know the answer to or do not track a particular data point, please leave it blank; please do not include estimates or guesses.",NA,Senior,% engaged through appointment with professional staff
Q21_4_2,Q21,4,2,"Please reflect the 2020-21 academic year data in your answers. In this question, we are looking for the percentage of students in a particular class year who engaged with the career center through appointments (professional & peer staff) and events (workshops, programs, info sessions, etc.).


	To determine ""% engaged"" values, divide the number of unique students engaged by the total number of students in that class. 
	If you do not know the answer to or do not track a particular data point, please leave it blank; please do not include estimates or guesses.",NA,Senior,"% engaged through appointment with peer ""advisor"" staff"
Q21_4_3,Q21,4,3,"Please reflect the 2020-21 academic year data in your answers. In this question, we are looking for the percentage of students in a particular class year who engaged with the career center through appointments (professional & peer staff) and events (workshops, programs, info sessions, etc.).


	To determine ""% engaged"" values, divide the number of unique students engaged by the total number of students in that class. 
	If you do not know the answer to or do not track a particular data point, please leave it blank; please do not include estimates or guesses.",NA,Senior,% engaged through programs and events
Q21_4_4,Q21,4,4,"Please reflect the 2020-21 academic year data in your answers. In this question, we are looking for the percentage of students in a particular class year who engaged with the career center through appointments (professional & peer staff) and events (workshops, programs, info sessions, etc.).


	To determine ""% engaged"" values, divide the number of unique students engaged by the total number of students in that class. 
	If you do not know the answer to or do not track a particular data point, please leave it blank; please do not include estimates or guesses.",NA,Senior,Total % of class engaged
Q21_5_5,Q21,5,5,"Please reflect the 2020-21 academic year data in your answers. In this question, we are looking for the percentage of students in a particular class year who engaged with the career center through appointments (professional & peer staff) and events (workshops, programs, info sessions, etc.).


	To determine ""% engaged"" values, divide the number of unique students engaged by the total number of students in that class. 
	If you do not know the answer to or do not track a particular data point, please leave it blank; please do not include estimates or guesses.",NA,TOTAL (all classes),% engaged through appointment with professional staff
Q21_5_2,Q21,5,2,"Please reflect the 2020-21 academic year data in your answers. In this question, we are looking for the percentage of students in a particular class year who engaged with the career center through appointments (professional & peer staff) and events (workshops, programs, info sessions, etc.).


	To determine ""% engaged"" values, divide the number of unique students engaged by the total number of students in that class. 
	If you do not know the answer to or do not track a particular data point, please leave it blank; please do not include estimates or guesses.",NA,TOTAL (all classes),"% engaged through appointment with peer ""advisor"" staff"
Q21_5_3,Q21,5,3,"Please reflect the 2020-21 academic year data in your answers. In this question, we are looking for the percentage of students in a particular class year who engaged with the career center through appointments (professional & peer staff) and events (workshops, programs, info sessions, etc.).


	To determine ""% engaged"" values, divide the number of unique students engaged by the total number of students in that class. 
	If you do not know the answer to or do not track a particular data point, please leave it blank; please do not include estimates or guesses.",NA,TOTAL (all classes),% engaged through programs and events
Q21_5_4,Q21,5,4,"Please reflect the 2020-21 academic year data in your answers. In this question, we are looking for the percentage of students in a particular class year who engaged with the career center through appointments (professional & peer staff) and events (workshops, programs, info sessions, etc.).


	To determine ""% engaged"" values, divide the number of unique students engaged by the total number of students in that class. 
	If you do not know the answer to or do not track a particular data point, please leave it blank; please do not include estimates or guesses.",NA,TOTAL (all classes),Total % of class engaged
Q22_1_1,Q22,1,1,"What percentage of your 2021 graduates completed the following type of experience by graduation?


	If you do not know the answer to or do not track a particular data point, please leave it blank; DO NOT include estimates or guesses.",NA,"Internship (including pre-licensure field experience, NOT including mentored undergraduate research)",%
Q22_2_1,Q22,2,1,"What percentage of your 2021 graduates completed the following type of experience by graduation?


	If you do not know the answer to or do not track a particular data point, please leave it blank; DO NOT include estimates or guesses.",NA,Mentored research experience,%
Q22_3_1,Q22,3,1,"What percentage of your 2021 graduates completed the following type of experience by graduation?


	If you do not know the answer to or do not track a particular data point, please leave it blank; DO NOT include estimates or guesses.",NA,Internship for academic credit,%
Q22_4_1,Q22,4,1,"What percentage of your 2021 graduates completed the following type of experience by graduation?


	If you do not know the answer to or do not track a particular data point, please leave it blank; DO NOT include estimates or guesses.",NA,Internship funded by your institution,%
Q22_5_1,Q22,5,1,"What percentage of your 2021 graduates completed the following type of experience by graduation?


	If you do not know the answer to or do not track a particular data point, please leave it blank; DO NOT include estimates or guesses.",NA,Paid internship,%
Q22_6_1,Q22,6,1,"What percentage of your 2021 graduates completed the following type of experience by graduation?


	If you do not know the answer to or do not track a particular data point, please leave it blank; DO NOT include estimates or guesses.",NA,"ANY internship, pre-licensure field experience, mentored experience or similar professional experience",%
Q23_1,Q23,1,NA,"What is the total operating budget - minus staff compensation, but including student compensation - allocated to the career center for the most recently completed fiscal year?

	If you share a budget with other offices, please include only the amount dedicated to the career center. For example,  if you share an operating budget with two other offices totaling $300,000 but the amount allotted specifically to the Career Center is $100,000, then enter the latter amount.
	Please DO NOT include endowed funds or expendable gifts (you will enter these in the following question)
	Please include student staff compensation but NOT staff compensation
	Please enter a whole dollar amount without symbols, commas, or abbreviations (e.g., 95000) - Amount utilized for funded internships",NA,Amount utilized for funded internships,NA
Q23_4,Q23,4,NA,"What is the total operating budget - minus staff compensation, but including student compensation - allocated to the career center for the most recently completed fiscal year?

	If you share a budget with other offices, please include only the amount dedicated to the career center. For example,  if you share an operating budget with two other offices totaling $300,000 but the amount allotted specifically to the Career Center is $100,000, then enter the latter amount.
	Please DO NOT include endowed funds or expendable gifts (you will enter these in the following question)
	Please include student staff compensation but NOT staff compensation
	Please enter a whole dollar amount without symbols, commas, or abbreviations (e.g., 95000) - Amount utilized for student staff compensation",NA,Amount utilized for student staff compensation,NA
Q23_2,Q23,2,NA,"What is the total operating budget - minus staff compensation, but including student compensation - allocated to the career center for the most recently completed fiscal year?

	If you share a budget with other offices, please include only the amount dedicated to the career center. For example,  if you share an operating budget with two other offices totaling $300,000 but the amount allotted specifically to the Career Center is $100,000, then enter the latter amount.
	Please DO NOT include endowed funds or expendable gifts (you will enter these in the following question)
	Please include student staff compensation but NOT staff compensation
	Please enter a whole dollar amount without symbols, commas, or abbreviations (e.g., 95000) - Other",NA,Other,NA
Q24_1_1,Q24,1,1,"Please indicate the funding amounts outside of your operating budget that were available to your office to spend during the most recently completed fiscal year. Amounts should include funds available to support student internships, specific programs, etc.

	Please enter a whole dollar amount without symbols, commas, or abbreviations (e.g., 95000)
	Please do not leave blank",NA,Income from endowed funds,Amount utilized for funded internships ($)
Q24_1_2,Q24,1,2,"Please indicate the funding amounts outside of your operating budget that were available to your office to spend during the most recently completed fiscal year. Amounts should include funds available to support student internships, specific programs, etc.

	Please enter a whole dollar amount without symbols, commas, or abbreviations (e.g., 95000)
	Please do not leave blank",NA,Income from endowed funds,Other ($)
Q24_1_5,Q24,1,5,"Please indicate the funding amounts outside of your operating budget that were available to your office to spend during the most recently completed fiscal year. Amounts should include funds available to support student internships, specific programs, etc.

	Please enter a whole dollar amount without symbols, commas, or abbreviations (e.g., 95000)
	Please do not leave blank",NA,Income from endowed funds,Total
Q24_2_1,Q24,2,1,"Please indicate the funding amounts outside of your operating budget that were available to your office to spend during the most recently completed fiscal year. Amounts should include funds available to support student internships, specific programs, etc.

	Please enter a whole dollar amount without symbols, commas, or abbreviations (e.g., 95000)
	Please do not leave blank",NA,Expendable gifts,Amount utilized for funded internships ($)
Q24_2_2,Q24,2,2,"Please indicate the funding amounts outside of your operating budget that were available to your office to spend during the most recently completed fiscal year. Amounts should include funds available to support student internships, specific programs, etc.

	Please enter a whole dollar amount without symbols, commas, or abbreviations (e.g., 95000)
	Please do not leave blank",NA,Expendable gifts,Other ($)
Q24_2_5,Q24,2,5,"Please indicate the funding amounts outside of your operating budget that were available to your office to spend during the most recently completed fiscal year. Amounts should include funds available to support student internships, specific programs, etc.

	Please enter a whole dollar amount without symbols, commas, or abbreviations (e.g., 95000)
	Please do not leave blank",NA,Expendable gifts,Total
Q24_3_1,Q24,3,1,"Please indicate the funding amounts outside of your operating budget that were available to your office to spend during the most recently completed fiscal year. Amounts should include funds available to support student internships, specific programs, etc.

	Please enter a whole dollar amount without symbols, commas, or abbreviations (e.g., 95000)
	Please do not leave blank",NA,Other,Amount utilized for funded internships ($)
Q24_3_2,Q24,3,2,"Please indicate the funding amounts outside of your operating budget that were available to your office to spend during the most recently completed fiscal year. Amounts should include funds available to support student internships, specific programs, etc.

	Please enter a whole dollar amount without symbols, commas, or abbreviations (e.g., 95000)
	Please do not leave blank",NA,Other,Other ($)
Q24_3_5,Q24,3,5,"Please indicate the funding amounts outside of your operating budget that were available to your office to spend during the most recently completed fiscal year. Amounts should include funds available to support student internships, specific programs, etc.

	Please enter a whole dollar amount without symbols, commas, or abbreviations (e.g., 95000)
	Please do not leave blank",NA,Other,Total
Q25,Q25,NA,NA,"This is the final survey question. Selecting YES and NEXT will automatically submit your completed survey. If you have not completed it, please do not answer this question. Qualtrics will save the answers you've recorded so far for up to one month and you can return using the same link to complete.
 

Have you completed this survey?",NA,NA,NA
